body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm
Van,Gas,2009,11,43,16.4,0,32676.69949,26.10268293,553.56
Van,Gas,2008,11,46,16.5,0,32775.04455,25.99181818,550.05
Van,Gas,2007,13,49,16.3,0,34487.78588,26.21490798,553.75
Van,Gas,2006,14,52,16.7,0,35375.23544,25.77407186,542.24
Van,Gas,2005,14,65,16.4,0,34417.73234,26.10268293,549.76
Van,Gas,2004,13,64,16,0,34831.04973,26.56,565.75
Van,Gas,2003,12,68,15.8,0,34472.75663,26.79734177,574.52
Van,Gas,2002,14,65,16,0,34274.24668,26.56,564.71
Van,Gas,2001,13,62,15.8,0,34256.10942,26.79734177,571.5
Van,Gas,2000,14,69,16.1,0,35627.57086,26.44354037,562.93
Van,Gas,1999,13,67,15.9,0,35251.96627,26.67792453,566.55
Van,Gas,1998,4,37,14.5,0,35715.30779,28.49965517,615.25
Van,PEV,2017,1,1,32,0,53599.94056,17.185,106
SUV,Gas,2017,30,318,21.2,0,37821.12858,22.3309434,432.19
SUV,Gas,2016,27,293,21.4,0,38346.06347,22.19869159,429.37
SUV,Gas,2015,26,301,20.9,0,38329.41605,22.53406699,438.28
SUV,Gas,2014,26,271,20.3,0,37413.03871,22.95832512,449.05
SUV,Gas,2013,27,267,20,0,37878.57695,23.18,460.25
SUV,Gas,2012,28,257,19.5,0,37858.97512,23.56461538,468.49
SUV,Gas,2011,29,287,19.4,0,39524.88281,23.64391753,473.4
SUV,Gas,2010,31,280,18.9,0,40524.01472,24.05301587,484.89
SUV,Gas,2009,34,325,18.2,0,40936.16249,24.66351648,502.83
SUV,Gas,2008,34,313,17.7,0,41059.36555,25.12915254,515.69
SUV,Gas,2007,34,294,17.6,0,43205.02465,25.22545455,515.55
SUV,Gas,2006,33,279,17.3,0,44316.78868,25.52104046,527.77
SUV,Gas,2005,33,280,17.1,0,43117.26416,25.72385965,531.9
SUV,Gas,2004,33,260,16.6,0,43635.05292,26.25228916,546.56
SUV,Gas,2003,31,253,16.8,0,43186.19656,26.03714286,544.4
SUV,Gas,2002,31,222,16.7,0,42937.51063,26.14407186,546.93
SUV,Gas,2001,28,195,17.1,0,42914.78893,25.72385965,534.91
SUV,Gas,2000,22,163,17,0,44632.90518,25.82705882,539.03
SUV,Gas,1999,22,160,17.2,0,44162.36162,25.62186047,533.63
SUV,Gas,1998,25,167,17.4,0,44742.81877,25.42137931,523.18
SUV,Diesel,2017,3,5,25,0,44897.93782,20.18,405
SUV,Diesel,2016,7,11,25,0,45521.09463,20.18,407.73
SUV,Diesel,2015,6,10,25.2,0,45501.33227,20.0847619,409.8
SUV,Diesel,2014,6,8,24.5,0,44413.4892,20.42489796,418.88
SUV,Diesel,2013,5,5,23.4,0,44966.1355,21.00051282,438.4
SUV,Diesel,2012,3,3,21,0,44942.86593,22.46571429,485.59
SUV,Diesel,2011,3,3,21.3,0,46920.48592,22.26450704,478.24
SUV,Diesel,2010,3,3,20.7,0,48106.56799,22.67275362,493.58
SUV,Diesel,2009,3,3,20.7,0,48595.8338,22.67275362,493.58
SUV,Diesel,2008,3,6,19.7,0,48742.08969,23.4084264,520.36
SUV,Diesel,2007,3,6,19.7,0,51289.22862,23.4084264,520.36
SUV,Diesel,2006,2,2,19,0,52609.0177,23.96947368,541.79
SUV,Diesel,2005,1,1,21,0,51185.04703,22.46571429,484.76
SUV,Diesel,2004,1,1,18,0,51799.72059,24.84666667,565.56
SUV,Diesel,1999,2,2,15,0,52425.69538,28.18,678.67
SUV,Diesel,1998,2,2,15,0,53114.76338,28.18,678.67
SUV,Hybrid,2017,5,10,29.6,0,40628.40849,18.31513514,302.1
SUV,Hybrid,2016,5,11,29.1,0,41192.30676,18.48927835,305.82
SUV,Hybrid,2015,7,13,27.5,0,41174.42369,19.08909091,323.54
SUV,Hybrid,2014,8,12,26.3,0,40190.02808,19.58684411,334.08
SUV,Hybrid,2013,8,13,23.1,0,40690.12098,21.16701299,386.15
SUV,Hybrid,2012,8,14,23.9,0,40669.0642,20.73230126,381.01
SUV,Hybrid,2011,12,20,24.9,0,42458.62419,20.22819277,370.01
SUV,Hybrid,2010,11,17,26.1,0,43531.91684,19.67425287,351.19
SUV,Hybrid,2009,10,16,25.4,0,43974.65635,19.99102362,361.73
SUV,Hybrid,2008,8,14,26.1,0,44107.00417,19.67425287,349.33
SUV,Hybrid,2007,5,8,26.8,0,46411.9252,19.37402985,332.95
SUV,Hybrid,2006,5,8,27,0,47606.21011,19.29111111,329.48
SUV,Hybrid,2005,1,2,28,0,46317.65066,18.89428571,317.8
SUV,PEV,2017,4,4,23,0,66088.39654,21.22347826,260
SUV,PEV,2016,4,4,23,0,75933.35291,21.22347826,260.5
SUV,PEV,2015,1,1,22,0,64076.05162,21.81636364,260
SUV,BEV,2017,2,7,87.4,245,75017.02367,11.61249428,0
SUV,BEV,2016,2,6,87.5,237,86192.04627,11.60857143,0
SUV,BEV,2014,2,2,69.5,115,58255.31238,12.49654676,0
SUV,BEV,2013,2,2,69.5,115,69067.04343,12.49654676,0
SUV,BEV,2012,2,2,69,113,62570.27637,12.52782609,0
Pickup,Gas,2017,8,84,18.5,0,33196.53386,24.54621622,488.67
Pickup,Gas,2016,7,72,18.5,0,33657.28211,24.54621622,488.18
Pickup,Gas,2015,6,66,18.6,0,33642.67026,24.45903226,485.79
Pickup,Gas,2014,8,65,17.1,0,32838.34335,25.87385965,531.12
Pickup,Gas,2013,7,69,16.9,0,33246.9577,26.08147929,532.93
Pickup,Gas,2012,8,100,17.3,0,33229.7527,25.67104046,520.49
Pickup,Gas,2011,8,110,17.3,0,34691.96081,25.67104046,522.85
Pickup,Gas,2010,10,108,17.2,0,35568.92344,25.77186047,525.8
Pickup,Gas,2009,11,138,16.8,0,35930.67567,26.18714286,534.88
Pickup,Gas,2008,14,148,16.3,0,36038.81401,26.73490798,556.44
Pickup,Gas,2007,12,162,16.1,0,37922.11173,26.96354037,558.22
Pickup,Gas,2006,12,151,16.2,0,38897.93434,26.84851852,561
Pickup,Gas,2005,7,127,16.4,0,37845.08219,26.62268293,556.04
Pickup,Gas,2004,7,140,16.3,0,38299.55811,26.73490798,557.48
Pickup,Gas,2003,8,127,15.8,0,37905.58585,27.31734177,571.99
Pickup,Gas,2002,9,127,15.7,0,37687.3081,27.43828025,577.81
Pickup,Gas,2001,8,126,16,0,37667.36471,27.08,566.42
Pickup,Gas,2000,8,119,16.5,0,39175.39755,26.51181818,550.73
Pickup,Gas,1999,8,119,16,0,38762.38991,27.08,566.51
Pickup,Gas,1998,8,124,16.1,0,39271.87141,26.96354037,561.74
Pickup,Diesel,2017,3,7,23,0,39835.84063,21.37347826,448.43
Pickup,Diesel,2016,3,7,23.6,0,40388.73853,21.04186441,434.71
Pickup,Diesel,2015,1,3,23,0,40371.20431,21.37347826,443.67
Pickup,Diesel,2014,1,2,22.5,0,39406.01202,21.66333333,450.5
Pickup,Diesel,2011,1,1,20,0,41630.35298,23.33,509
Pickup,Diesel,1998,2,4,15,0,47126.2457,28.33,678.67
Pickup,Hybrid,2017,2,4,19,0,36516.18724,24.11947368,467.5
Pickup,Hybrid,2016,2,4,19,0,37023.01032,24.11947368,468
Pickup,Hybrid,2013,2,4,21,0,36571.65347,22.61571429,420.5
Pickup,Hybrid,2012,2,4,21,0,36552.72796,22.61571429,423.19
Pickup,Hybrid,2011,2,4,21,0,38161.1569,22.61571429,423.19
Pickup,Hybrid,2010,2,4,21.5,0,39125.81578,22.28348837,413.57
Pickup,Hybrid,2009,2,4,20.5,0,39523.74323,22.96414634,433.77
Pickup,Hybrid,2007,2,4,16.5,0,41714.3229,26.51181818,539.1
Pickup,Hybrid,2006,2,4,16.5,0,42787.72777,26.51181818,539.1
Pickup,Hybrid,2005,2,4,16.5,0,41629.5904,26.51181818,539.1
Pickup,Hybrid,2004,2,4,16.5,0,42129.51392,26.51181818,539.1
Motorcycle,Gas,2017,11,23,53,0,11531.02445,12.49037736,365.46
Motorcycle,Gas,2016,13,28,53,0,11691.06825,12.49037736,365.46
Motorcycle,Gas,2015,11,30,53,0,11685.99273,12.49037736,365.46
Motorcycle,Gas,2014,11,30,53,0,11406.60473,12.49037736,365.46
Motorcycle,Gas,2013,12,30,53,0,11548.53949,12.49037736,365.46
Motorcycle,Gas,2012,12,25,53,0,11542.56322,12.49037736,365.46
Motorcycle,Gas,2011,12,26,53,0,12050.47039,12.49037736,365.46
Motorcycle,Gas,2010,11,29,53,0,12355.08887,12.49037736,365.46
Motorcycle,Gas,2009,12,30,53,0,12480.74577,12.49037736,365.46
Motorcycle,Gas,2008,11,28,53,0,12518.30831,12.49037736,365.46
Motorcycle,Gas,2007,12,32,53,0,13172.48359,12.49037736,365.46
Motorcycle,Gas,2006,12,33,53,0,13511.4417,12.49037736,365.46
Motorcycle,Gas,2005,12,27,53,0,13145.7269,12.49037736,365.46
Motorcycle,Gas,2004,10,26,53,0,13303.59196,12.49037736,365.46
Motorcycle,Gas,2003,11,30,53,0,13166.74322,12.49037736,365.46
Motorcycle,Gas,2002,13,31,53,0,13090.92308,12.49037736,365.46
Motorcycle,Gas,2001,15,33,53,0,13083.99561,12.49037736,365.46
Motorcycle,Gas,2000,10,22,53,0,13607.82029,12.49037736,365.46
Motorcycle,Gas,1999,10,20,53,0,13464.35949,12.49037736,365.46
Motorcycle,Gas,1998,15,40,53,0,13641.33109,12.49037736,365.46
Motorcycle,BEV,2017,2,2,240,80,16712.08255,8.08,0
Motorcycle,BEV,2016,2,2,240,80,19201.6228,8.08,0
Motorcycle,BEV,2015,1,1,240,80,16203.21145,8.08,0
Motorcycle,BEV,2014,1,1,240,80,12977.95542,8.08,0
Motorcycle,BEV,2013,1,1,240,80,15386.5626,8.08,0
Motorcycle,BEV,2012,1,1,240,80,13939.23102,8.08,0
Motorcycle,BEV,2011,1,1,240,80,11382.15714,8.08,0
Motorcycle,BEV,2010,1,1,240,80,11382.15714,8.08,0
Motorcycle,BEV,2009,1,1,240,80,11382.15714,8.08,0
Motorcycle,BEV,2008,1,1,240,80,11382.15714,8.08,0
